iter	Passed	Remaining
327	531	1089
328	533	1089
329	535	1087
330	537	1085
331	538	1083
332	540	1082
333	542	1081
334	543	1079
335	545	1077
336	546	1075
337	548	1073
338	549	1071
339	551	1070
340	552	1068
341	554	1066
342	555	1064
343	557	1062
344	559	1061
345	559	1057
346	561	1055
347	562	1054
348	564	1052
349	565	1050
350	567	1048
351	569	1047
352	570	1046
353	572	1044
354	574	1043
355	575	1041
356	577	1039
357	578	1037
358	580	1035
359	581	1033
360	582	1031
361	584	1030
362	585	1028
363	587	1026
364	588	1024
365	590	1022
366	592	1021
367	593	1019
368	595	1017
369	596	1015
370	598	1013
371	599	1011
372	601	1010
373	602	1008
374	604	1006
375	605	1004
376	607	1003
377	608	1001
378	610	1000
379	612	998
380	613	996
381	614	994
382	616	992
383	617	991
384	619	989
385	620	987
386	623	987
387	624	985
388	626	983
389	627	981
390	629	980
391	631	979
392	632	977
393	634	975
394	636	974
395	637	972
396	639	971
397	641	969
398	642	968
399	644	966
400	645	964
401	647	962
402	648	961
403	650	959
404	652	957
405	653	956
406	655	954
407	657	953
408	658	951
409	660	949
410	661	948
411	663	946
412	664	944
413	666	942
414	668	942
415	669	940
416	671	938
417	673	937
418	674	935
419	676	933
420	677	932
421	679	930
422	680	928
423	682	926
424	683	924
425	685	923
426	686	921
427	689	921
428	690	919
429	692	917
430	693	915
431	695	913
432	696	912
433	698	910
434	699	909
435	701	907
436	703	906
437	705	905
438	707	903
439	709	902
440	710	900
441	712	898
442	713	897
443	715	895
444	716	893
445	718	892
446	719	890
447	722	889
448	723	888
449	725	886
450	726	884
451	728	882
452	729	881
453	731	879
454	733	878
455	735	877
456	736	875
457	738	874
458	740	872
459	741	870
460	743	869
461	744	867
462	746	865
463	747	863
464	750	862
465	750	860
466	752	858
467	754	857
468	756	856
469	758	855
470	759	852
471	760	850
472	762	849
473	763	847
474	765	845
475	766	844
476	768	842
477	770	841
478	771	839
479	773	837
480	774	836
481	776	834
482	779	834
483	780	832
484	782	830
485	784	829
486	785	827
487	787	826
488	788	824
489	790	822
490	791	821
491	793	819
492	795	817
493	797	816
494	799	815
495	801	814
496	802	812
497	804	810
498	805	809
499	807	807
500	808	805
501	810	804
502	812	802
503	813	800
504	815	799
505	816	797
506	818	795
507	820	794
508	821	792
509	823	790
510	825	789
511	826	787
512	828	786
513	829	784
514	831	783
515	833	781
516	834	779
517	836	778
518	838	776
519	839	775
520	841	773
521	842	771
522	844	770
523	846	769
524	848	767
525	849	765
526	851	763
527	852	762
528	854	760
529	855	758
530	857	757
531	859	756
532	861	754
533	862	752
534	863	750
535	865	749
536	867	747
537	868	746
538	870	744
539	871	742
540	873	741
541	875	739
542	876	737
543	878	736
544	880	734
545	881	733
546	883	731
547	884	729
548	886	727
549	887	726
550	889	724
551	890	722
552	892	721
553	894	719
554	895	718
555	897	716
556	898	714
557	900	713
558	902	712
559	904	710
560	906	708
561	907	707
562	909	705
563	910	703
564	912	702
565	913	700
566	915	698
567	916	697
568	918	695
569	920	694
570	921	692
571	922	690
572	924	688
573	925	687
574	927	685
575	928	683
576	930	682
577	931	680
578	933	678
579	935	677
580	936	675
581	938	673
582	939	672
583	941	670
584	942	668
585	944	667
586	945	665
587	947	663
588	948	662
589	950	660
590	951	658
591	953	657
592	955	655
593	956	653
594	958	652
595	959	650
596	961	648
597	962	647
598	964	645
599	965	643
600	967	642
601	969	640
602	971	639
603	972	637
604	974	636
605	975	634
606	977	632
607	978	631
608	980	629
609	981	627
610	983	626
611	985	624
612	986	622
613	987	621
614	989	619
615	990	617
616	992	616
617	994	614
618	995	612
619	997	611
620	998	609
621	1000	607
622	1001	606
623	1003	604
624	1004	602
625	1006	601
626	1007	599
627	1009	597
628	1010	596
629	1012	594
630	1013	592
631	1015	591
632	1017	589
633	1018	588
634	1020	586
635	1022	585
636	1024	583
637	1025	582
638	1027	580
639	1029	579
640	1031	577
641	1032	575
642	1034	574
643	1035	572
644	1037	571
645	1039	569
646	1040	567
647	1042	566
648	1043	564
649	1045	563
650	1047	561
651	1049	559
652	1050	558
653	1052	556
654	1053	555
655	1055	553
656	1057	552
657	1058	550
658	1060	548
659	1061	547
660	1063	545
661	1065	543
662	1066	542
663	1068	540
664	1069	538
665	1071	537
666	1072	535
667	1074	533
668	1075	532
669	1077	530
670	1079	529
671	1081	527
672	1082	526
673	1084	524
674	1085	522
675	1087	521
676	1088	519
677	1089	517
678	1091	516
679	1093	514
680	1094	512
681	1096	511
682	1098	509
683	1099	508
684	1100	506
685	1102	504
686	1103	502
687	1105	501
688	1106	499
689	1108	497
690	1109	496
691	1111	494
692	1113	493
693	1115	491
694	1116	489
695	1118	488
696	1120	486
697	1121	485
698	1123	483
699	1124	482
700	1126	480
701	1128	478
702	1129	477
703	1131	475
704	1132	474
705	1134	472
706	1136	470
707	1137	469
708	1138	467
709	1140	465
710	1142	464
711	1144	462
712	1145	461
713	1147	459
714	1148	457
715	1150	456
716	1152	454
717	1153	453
718	1155	451
719	1156	449
720	1158	448
721	1159	446
722	1161	445
723	1163	443
724	1164	441
725	1166	440
726	1167	438
727	1169	436
728	1170	435
729	1172	433
730	1174	432
731	1175	430
732	1177	429
733	1179	427
734	1181	425
735	1182	424
736	1184	422
737	1185	421
738	1187	419
739	1188	417
740	1190	416
741	1191	414
742	1193	412
743	1195	411
744	1196	409
745	1198	407
746	1199	406
747	1201	404
748	1203	403
749	1204	401
750	1206	399
751	1207	398
752	1209	396
753	1210	395
754	1212	393
755	1213	391
756	1215	390
757	1217	388
758	1219	387
759	1220	385
760	1222	383
761	1223	382
762	1226	380
763	1227	379
764	1229	377
765	1230	375
766	1232	374
767	1233	372
768	1235	370
769	1236	369
770	1237	367
771	1239	366
772	1241	364
773	1243	363
774	1244	361
775	1246	359
776	1248	358
777	1249	356
778	1251	355
779	1253	353
780	1254	351
781	1255	350
782	1257	348
783	1259	346
784	1260	345
785	1262	343
786	1263	341
787	1264	340
788	1266	338
789	1267	337
790	1269	335
791	1270	333
792	1272	332
793	1273	330
794	1275	328
795	1277	327
796	1279	325
797	1280	324
798	1282	322
799	1284	321
800	1285	319
801	1287	317
802	1288	316
803	1290	314
804	1292	313
805	1294	311
806	1295	309
807	1297	308
808	1298	306
809	1300	304
810	1301	303
811	1302	301
812	1304	300
813	1306	298
814	1307	296
815	1309	295
816	1311	293
817	1312	292
818	1314	290
819	1316	288
820	1317	287
821	1319	285
822	1320	284
823	1322	282
824	1323	280
825	1325	279
826	1326	277
827	1328	275
828	1330	274
829	1331	272
830	1333	271
831	1334	269
832	1336	267
833	1337	266
834	1339	264
835	1340	263
836	1341	261
837	1343	259
838	1344	258
839	1347	256
840	1348	254
841	1350	253
842	1351	251
843	1353	250
844	1354	248
845	1356	246
846	1358	245
847	1359	243
848	1361	242
849	1362	240
850	1364	238
851	1366	237
852	1368	235
853	1369	234
854	1370	232
855	1372	230
856	1374	229
857	1375	227
858	1377	226
859	1378	224
860	1380	222
861	1382	221
862	1383	219
863	1385	218
864	1386	216
865	1388	214
866	1389	213
867	1391	211
868	1393	210
869	1394	208
870	1396	206
871	1397	205
872	1399	203
873	1400	201
874	1402	200
875	1403	198
876	1405	197
877	1407	195
878	1408	193
879	1410	192
880	1411	190
881	1413	189
882	1414	187
883	1417	185
884	1418	184
885	1420	182
886	1422	181
887	1424	179
888	1426	178
889	1427	176
890	1429	174
891	1430	173
892	1432	171
893	1433	169
894	1435	168
895	1436	166
896	1438	165
897	1440	163
898	1441	161
899	1443	160
900	1445	158
901	1446	157
902	1447	155
903	1449	153
904	1450	152
905	1452	150
906	1453	149
907	1455	147
908	1457	145
909	1458	144
910	1460	142
911	1462	141
912	1464	139
913	1465	137
914	1467	136
915	1468	134
916	1470	133
917	1473	131
918	1474	129
919	1476	128
920	1477	126
921	1479	125
922	1480	123
923	1483	121
924	1484	120
925	1486	118
926	1488	117
927	1489	115
928	1491	113
929	1493	112
930	1494	110
931	1495	109
932	1497	107
933	1499	105
934	1500	104
935	1502	102
936	1503	101
937	1505	99
938	1506	97
939	1508	96
940	1509	94
941	1511	93
942	1512	91
943	1514	89
944	1515	88
945	1517	86
946	1518	85
947	1520	83
948	1522	81
949	1523	80
950	1525	78
951	1526	76
952	1528	75
953	1529	73
954	1531	72
955	1532	70
956	1534	68
957	1536	67
958	1537	65
959	1539	64
960	1540	62
961	1542	60
962	1543	59
963	1545	57
964	1546	56
965	1548	54
966	1549	52
967	1551	51
968	1553	49
969	1554	48
970	1556	46
971	1557	44
972	1559	43
973	1561	41
974	1562	40
975	1564	38
976	1566	36
977	1567	35
978	1569	33
979	1571	32
980	1572	30
981	1574	28
982	1576	27
983	1578	25
984	1579	24
985	1581	22
986	1582	20
987	1584	19
988	1585	17
989	1587	16
990	1588	14
991	1590	12
992	1591	11
993	1593	9
994	1594	8
995	1596	6
996	1597	4
997	1599	3
998	1600	1
999	1602	0
