iter	Logloss
0	0.6917015183
1	0.6896239146
2	0.6878545708
3	0.6854370744
4	0.6833511312
5	0.6820591795
6	0.6802270471
7	0.6788755045
8	0.6773393857
9	0.6751273049
10	0.6738758203
11	0.6718619904
12	0.6702906315
13	0.6687683457
14	0.6669720647
15	0.6657174774
16	0.6644458529
17	0.6629600396
18	0.6608969594
19	0.6593269812
20	0.6581387177
21	0.6564067024
22	0.6544610421
23	0.6529110521
24	0.65128287
25	0.649964607
26	0.6484949567
27	0.6471987826
28	0.6456242149
29	0.6436578135
30	0.6418281131
31	0.639869799
32	0.6382624167
33	0.6361146056
34	0.6347408168
35	0.633826088
36	0.632375019
37	0.631424217
38	0.6300910157
39	0.628668412
40	0.6274750367
41	0.6260139823
42	0.623986608
43	0.6229465222
44	0.6216248599
45	0.6195852877
46	0.6177619038
47	0.6163049054
48	0.6141151956
49	0.6125430084
50	0.6107031355
51	0.6094512291
52	0.6075736915
53	0.6067653652
54	0.6051769052
55	0.6041922321
56	0.6023113255
57	0.6012392598
58	0.5996975529
59	0.5985139022
60	0.5970869011
61	0.5954839145
62	0.5943124613
63	0.5931608125
64	0.591994864
65	0.5904685274
66	0.5891497237
67	0.5882980486
68	0.5871380586
69	0.5853989236
70	0.5844235975
71	0.5829351495
72	0.5816562761
73	0.580375337
74	0.5795093762
75	0.5782685706
76	0.5768228727
77	0.5758396354
78	0.5744844789
79	0.5734050855
80	0.572234888
81	0.5706427609
82	0.5694512508
83	0.5680980985
84	0.566619264
85	0.5651380455
86	0.5637789909
87	0.5625083941
88	0.561493724
89	0.5601282929
90	0.5591527979
91	0.5576256166
92	0.5558517211
93	0.5550317044
94	0.5537037848
95	0.5523354939
96	0.5508170772
97	0.5496811599
98	0.5482186464
99	0.5471815858
100	0.5462257554
101	0.5445141151
102	0.5432175886
103	0.5420014552
104	0.5411832525
105	0.5397050306
106	0.5381830285
107	0.5368191993
108	0.5355223897
109	0.5345475717
110	0.5336005831
111	0.5329299865
112	0.5313894726
113	0.5304133942
114	0.529293313
115	0.5279263223
116	0.5272759404
117	0.5260180369
118	0.5250262819
119	0.5236380804
120	0.5225723266
121	0.52156223
122	0.520740037
